,Unnamed: 0,accommodates,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price,amenities__Dryer,amenities__Other_pet(s),amenities__Carbon_Monoxide_Detector,amenities__,amenities__Iron,amenities__Elevator_in_Building,amenities__Cable_TV,amenities__Heating,amenities__Shampoo,amenities__Wireless_Internet,amenities__Dog(s),amenities__Doorman,amenities__24-Hour_Check-in,amenities__TV,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Essentials,amenities__Laptop_Friendly_Workspace,amenities__Hair_Dryer,amenities__Gym,amenities__Safety_Card,amenities__Pool,amenities__Internet,amenities__Kitchen,amenities__Pets_Allowed,amenities__Buzzer/Wireless_Intercom,amenities__Breakfast,amenities__Washer_/_Dryer,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__Lock_on_Bedroom_Door,amenities__Washer,amenities__Hot_Tub,amenities__Cat(s),amenities__Air_Conditioning,amenities__Indoor_Fireplace,amenities__Smoke_Detector,amenities__Wheelchair_Accessible,amenities__Family/Kid_Friendly,amenities__Fire_Extinguisher,amenities__Hangers,amenities__Smoking_Allowed,Cluster_Lon_Lat
15,15,2,0,1,Real Bed,1,1,1,flexible,0,t,f,1,t,22.71976046,114.2918563,1125,0,Apartment,10,10,10,100,10,Entire home/apt,180,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,6
16,16,2,21,1,Real Bed,1,1,2,moderate,1,t,f,2,f,22.71680528,114.2866005,1125,6,House,10,9,9,87,10,Private room,36,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6
17,17,2,30,1,Real Bed,1,1,2,strict,1,t,f,2,f,22.70693173,114.2907163,1125,0,House,10,10,8,94,9,Private room,125,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,6
18,18,6,0,2,Real Bed,2,2,1,moderate,1,t,f,1,t,22.72125268,114.293152,1125,0,Apartment,10,10,9,100,10,Entire home/apt,59,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,6
19,19,2,4,1,Real Bed,1,1,2,strict,2,t,t,2,f,22.67515497,114.2960249,1125,4,House,10,10,9,100,10,Private room,49,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6
20,20,2,0,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.71302665,114.2854392,1125,0,House,10,10,10,100,10,Private room,40,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,6
21,21,1,30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.71100415,114.2808983,1125,0,House,10,10,9,100,10,Private room,150,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,6
22,22,3,30,1,Real Bed,1,1,1,flexible,3,t,f,1,f,22.71634795,114.2896762,1125,0,House,8,8,6,80,7,Private room,175,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6
23,23,6,19,1,Real Bed,1,2,1,moderate,4,t,f,1,f,22.6973968,114.3019202,30,76,House,10,10,9,94,10,Private room,50,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,6
24,24,5,27,2,Real Bed,4,4,1,flexible,1,t,f,1,f,22.71445782,114.2899319,1125,0,House,6,10,6,67,8,Entire home/apt,120,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6
